NAME,GP,FGM,FGA,3PA,FTM,FTA,OREB,DREB,AST,TOV,CAREER_5YRS
Jeff Taylor,44,1,3,0,0,1,0,1,2,1,0
Bryan Warrick,43,1,4,0,1,1,0,1,2,1,0
Sleepy Floyd,76,3,6,0,2,2,0,1,1,1,1
Richard Anderson,78,2,5,0,0,0,1,2,1,1,1
Russ Schoene,77,2,5,0,0,1,1,2,0,1,0
John Bagley,68,2,5,0,0,1,0,1,2,1,1
Archie Goodwin,52,1,3,0,0,1,0,1,0,0,0
Cliff Levingston,62,2,4,0,1,2,1,2,0,1,1
LaSalle Thompson,71,2,4,0,1,1,1,3,0,1,1
Bruce Flowers,53,2,3,0,0,1,1,2,0,0,0
Corny Thompson,44,1,3,0,0,1,0,1,0,0,0
Walker Russell,68,1,2,0,0,0,0,0,1,1,1
Walker Russell,68,1,2,0,0,0,0,0,1,1,1
David Thirdkill,49,1,3,0,0,1,0,0,0,1,1
Dave Batton,54,1,3,0,0,0,0,1,0,0,0
Darren Tillis,52,1,3,0,0,0,0,1,0,0,0
Brook Steppe,62,1,2,0,1,1,0,0,1,0,1
Rory White,65,2,3,0,1,1,0,0,0,0,1
Andre Roberson,40,0,1,0,0,0,0,1,0,0,0
Linton Townes,55,1,4,0,0,0,0,0,0,0,0
Eddie Phillips,48,1,2,0,0,1,0,1,0,1,0
Jim Johnstone,23,0,1,0,0,0,0,1,0,0,0
Jose Slaughter,63,1,3,0,0,0,0,0,0,0,0
Rickey Williams,44,1,3,0,0,1,0,0,0,0,0
Chris Engler,54,0,1,0,0,0,0,1,0,0,1
Ricky Pierce,39,0,2,0,0,0,0,0,0,0,1
Mark McNamara,36,0,1,0,0,1,0,1,0,1,1
Scott Hastings,31,0,1,0,0,0,0,0,0,0,1
Oliver Robinson,35,1,2,0,0,1,0,0,0,0,0
Kelly Tripucka,82,7,15,0,6,7,2,2,3,3,1
Buck Williams,82,6,10,0,3,4,4,8,1,2,1
Isiah Thomas,72,6,14,0,4,6,0,2,7,4,1
Tom Chambers,81,6,13,0,3,5,2,4,1,2,1
Jay Vincent,81,8,17,0,3,5,2,4,2,2,1
Mark Aguirre,51,7,16,1,3,4,1,3,3,2,1
Herb Williams,82,5,10,0,1,2,2,5,1,1,1
Jeff Ruland,82,5,9,0,4,5,3,6,1,2,1
Frank Johnson,79,4,10,1,1,2,0,1,4,2,1
Elston Turner,80,3,8,0,1,1,1,2,2,1,1
Steve Johnson,78,5,8,0,2,4,1,3,1,2,1
Albert King,76,5,10,0,1,2,1,2,1,2,1
Gene Banks,80,3,8,0,1,2,2,3,1,1,1
Eddie Johnson,74,4,8,0,1,2,1,2,1,1,1
Eddie Johnson,74,4,8,0,1,2,1,2,1,1,1
Danny Schayes,82,3,6,0,1,2,1,3,1,1,1
Rudy Macklin,79,2,6,0,1,2,1,1,0,1,0
Sam Williams,59,2,4,0,0,1,1,3,0,1,0
Kurt Rambis,64,1,3,0,0,1,1,3,0,1,1
Kurt Nimphius,63,2,4,0,1,1,1,3,1,0,1
Pete Verhoeven,71,2,4,0,0,1,1,2,0,0,1
Darnell Valentine,82,2,5,0,1,2,0,1,3,1,1
Jim Brogan,63,2,5,0,1,1,1,0,2,1,0
John Douglas,64,2,6,0,1,1,0,1,2,1,0
Kevin Loder,71,2,6,0,1,1,1,1,1,1,0
Orlando Woolridge,75,2,5,0,1,2,1,1,1,1,1
Alton Lister,80,1,3,0,0,1,1,3,1,1,1
Larry Nance,80,2,5,0,0,1,1,2,1,1,1
Danny Vranes,77,1,3,0,1,1,0,1,0,0,1
Ed Rains,49,1,3,0,0,1,0,0,0,0,0
Peyton Siva,24,0,2,1,0,0,0,0,1,0,0
Jim Smith,72,1,2,0,0,1,1,1,0,0,0
Jeff Lamp,54,1,3,0,0,1,0,0,0,0,1
Ray Blume,49,2,4,0,0,0,0,0,1,1,0
Garry Witts,46,1,1,0,0,0,0,0,0,0,0
Charlie Davis,54,1,3,0,0,0,1,1,0,0,0
Danny Ainge,53,1,4,0,1,1,0,0,1,1,1
Mike McGee,39,2,4,0,0,1,0,0,0,0,1
Mark Radford,43,1,2,0,0,1,0,0,1,1,0
Alex Bradley,39,1,2,0,0,1,0,0,0,0,0
Reggie Bullock,43,1,2,1,0,0,0,1,0,0,0
Howard Wood,42,1,2,0,0,1,0,1,0,0,0
Franklin Edwards,42,1,3,0,0,0,0,0,1,0,1
Bobby Cattage,49,1,2,0,0,0,0,1,0,0,0
Charles Bradley,51,1,2,0,0,1,0,0,0,0,0
Kevin McKenna,36,0,2,0,0,0,0,0,0,0,1
Joe Barry Carroll,82,7,15,0,3,5,3,5,1,3,1
Darrell Griffith,81,8,19,0,2,4,1,2,2,2,1
Larry Smith,82,3,7,0,2,3,5,6,1,1,1
Mike O'Koren,79,4,9,0,1,2,2,3,3,1,1
Kelvin Ransey,80,6,14,0,2,2,0,1,6,2,1
Malcolm Delaney,33,2,5,1,1,1,0,1,2,1,0
Otto Porter,37,0,2,0,0,0,0,1,0,0,0
Bill Laimbeer,81,4,8,0,1,1,3,5,2,1,1
Michael Brooks,82,6,12,0,2,3,2,2,2,2,1
Mike Gminski,56,5,12,0,2,3,2,5,1,2,1
Darwin Cook,81,4,10,0,1,2,1,1,3,2,1
Andrew Toney,75,5,10,0,2,3,0,1,3,2,1
Cedrick Hordges,68,3,7,0,1,2,1,5,1,1,0
Calvin Garrett,70,2,5,0,0,0,1,2,1,1,0
Don Collins,81,4,10,0,2,3,1,1,2,2,1
Louis Orr,82,4,8,0,2,2,2,2,1,1,1
Reggie Johnson,79,4,8,0,1,2,1,2,1,1,0
Larry Drew,76,2,6,0,1,1,0,1,3,2,1
Larry Drew,76,2,6,0,1,1,0,1,3,2,1
Kevin McHale,82,4,8,0,1,1,1,2,0,1,1
Lowes Moore,71,3,6,0,1,1,0,1,3,1,0
Wayne Robinson,81,2,6,0,2,3,1,2,1,1,0
Johnny Moore,82,3,6,0,1,2,0,1,4,1,1
Jeff Wilkins,56,2,4,0,0,0,1,3,0,1,1
Kyle Macy,82,3,6,0,1,1,0,1,2,1,1
Bill Hanzlik,74,1,3,0,1,2,0,1,1,1,1
Solomon Hill,28,0,1,0,0,0,0,1,0,0,0
Edgar Jones,60,3,6,0,2,3,1,2,0,1,1
Sam Worthen,64,1,3,0,0,0,0,1,1,1,0
James Johnson,65,1,3,0,0,1,0,1,0,0,1
Lorenzo Romar,53,1,4,0,0,1,0,0,2,1,1
Rick Mahorn,52,2,4,0,0,0,1,2,0,0,1
Rickey Brown,45,1,3,0,0,0,1,2,0,0,1
Butch Carter,54,2,4,0,1,1,0,0,1,0,1
Mike Woodson,81,2,4,0,0,0,0,0,0,0,1
John Duren,40,0,2,0,0,0,0,0,1,0,0
James Wilkes,48,1,3,0,0,0,0,1,0,0,0
Shabazz Muhammad,37,1,3,0,0,1,0,0,0,0,0
DeWayne Scales,44,2,5,0,0,0,1,1,0,0,0
Craig Shelton,55,1,4,0,0,1,1,1,0,1,0
Earl Cureton,52,1,3,0,0,1,1,2,0,0,1
Billy Reid,59,1,3,0,0,0,0,0,1,1,0
Jerry Sichting,47,0,2,0,0,0,0,0,1,0,1
Reggie Carter,60,1,3,0,0,1,0,0,1,0,0
Mike Harper,55,1,2,0,0,1,0,1,0,0,0
Mike Niles,44,1,3,0,0,0,0,0,0,0,0
Toure' Murry,51,1,2,0,0,0,0,0,1,0,0
Dionte Christmas,31,0,2,1,0,0,0,0,0,0,0
Damian Lillard,82,6,15,6,3,3,0,2,6,3,1
Bradley Beal,56,5,12,4,2,2,0,3,2,1,1
Semaj Christon,33,1,4,1,0,0,0,1,2,0,0
Anthony Davis,64,5,10,0,2,3,2,5,1,1,1
Dion Waiters,61,5,13,3,2,3,0,2,3,2,1
Kyle Singler,82,3,7,2,1,1,1,2,0,1,1
Tyler Zeller,77,3,7,0,1,2,2,3,1,1,1
Maurice Harkless,76,3,7,1,1,1,1,2,0,0,1
Michael Kidd-Gilchrist,78,3,7,0,1,2,1,4,1,1,1
Harrison Barnes,81,3,7,1,1,2,0,3,1,1,1
Austin Rivers,61,2,6,1,1,1,0,1,2,1,1
Caris LeVert,12,1,4,2,0,1,0,2,1,0,0
Andre Drummond,60,3,5,0,1,2,2,4,0,0,1
Jared Sullinger,45,2,5,0,1,1,2,3,0,0,0
Meyers Leonard,69,2,4,0,1,1,1,2,0,0,1
Patrick Beverley,41,1,4,2,0,1,1,1,2,1,1
Jae Crowder,78,1,4,2,0,0,0,1,1,0,1
Brian Roberts,78,2,6,2,0,1,0,1,2,0,1
Terrence Ross,73,2,6,2,0,0,0,1,0,0,1
Chris Copeland,56,3,6,2,1,1,0,1,0,0,0
Thomas Robinson,70,2,4,0,0,1,1,2,0,1,1
John Jenkins,61,2,4,2,1,1,0,1,0,0,1
Kendall Marshall,48,1,3,1,0,0,0,0,3,1,0
Draymond Green,79,1,3,0,0,0,0,2,0,0,1
Darius Miller,52,0,2,1,0,0,0,1,0,0,0
John Henson,63,2,5,0,0,1,1,2,0,0,1
Sheldon McClellan,11,1,3,1,1,1,0,0,0,0,0
DeQuan Jones,63,1,3,0,0,0,0,1,0,0,0
Doron Lamb,47,1,3,0,0,0,0,0,0,0,0
Will Barton,73,1,4,0,0,0,0,1,0,0,1
Orlando Johnson,51,1,3,1,0,0,0,1,0,0,0
Arnett Moultrie,47,1,2,0,0,0,1,1,0,0,0
Kyle O'Quinn,57,1,3,0,0,0,1,2,0,0,1
Bernard James,46,1,2,0,0,0,1,1,0,0,0
Kim English,41,1,2,1,0,0,0,0,0,0,0
Rodney McGruder,30,2,5,2,0,1,1,2,1,0,0
Mike Scott,40,1,3,0,1,1,1,1,0,0,1
Marquis Teague,48,0,2,0,0,0,0,0,1,0,0
Tony Wroten,35,0,2,0,0,0,0,0,1,0,0
Maalik Wayns,27,1,3,1,0,0,0,0,1,0,0
Jeremy Lamb,23,1,3,1,0,0,0,0,0,0,1
Brandon Knight,66,4,11,4,1,2,0,2,3,2,1
MarShon Brooks,56,4,11,2,2,2,1,2,2,2,0
Iman Shumpert,59,3,9,2,1,1,0,2,2,1,1
Chandler Parsons,63,3,8,2,0,1,1,3,2,1,1
Kemba Walker,66,4,11,3,2,3,0,3,4,1,1
Isaiah Thomas,65,3,8,3,2,2,0,1,4,1,1
Klay Thompson,66,4,10,4,1,1,0,2,2,1,1
Kawhi Leonard,64,3,6,1,1,1,1,3,1,0,1
Wade Baldwin,22,1,3,0,1,1,0,1,2,1,0
Kenneth Faried,46,3,6,0,2,3,3,4,0,1,1
Chris Singleton,66,1,4,1,0,0,0,2,0,0,0
Derrick Williams,66,3,7,2,2,3,1,3,0,1,1
Donald Sloan,33,2,6,0,0,0,0,1,3,1,1
Markieff Morris,63,2,6,2,1,1,1,3,1,1,1
Norris Cole,65,2,6,1,1,1,0,1,2,1,1
Jimmer Fredette,61,2,7,3,0,0,0,0,1,1,1
Charles Jenkins,51,2,5,0,0,0,0,1,3,1,0
Jaylen Brown,34,1,4,1,0,1,0,1,0,0,0
Ivan Johnson,56,2,4,0,1,1,1,2,0,1,0
Alec Burks,59,2,6,0,1,2,1,1,0,0,1
Lavoy Allen,41,1,4,0,0,0,1,3,0,0,1
Lance Thomas,42,1,3,0,1,1,1,1,0,0,1
Jordan Williams,43,1,3,0,1,1,1,2,0,0,0
Josh Harrellson,37,1,4,1,0,0,1,2,0,0,0
Greg Stiemsma,55,1,2,0,0,0,0,2,0,0,0
Jeremy Tyler,42,2,5,0,0,1,1,2,0,0,0
Malcolm Lee,19,1,3,0,0,0,0,0,1,0,0
Nolan Smith,44,1,4,1,0,0,0,0,1,0,0
Shelvin Mack,64,1,3,0,0,0,0,1,2,0,1
Jon Leuer,46,2,4,0,0,0,1,1,0,0,1
Tobias Harris,42,1,4,0,1,1,0,1,0,0,1
Cory Higgins,38,1,4,0,1,1,0,0,0,1,0
Andrew Goudelock,40,1,4,1,0,0,0,0,0,0,0
Jordan Hamilton,26,1,4,1,0,0,0,2,0,0,1
Mickell Gladness,26,1,2,0,0,0,0,1,0,0,0
Patrick McCaw,26,1,2,1,0,0,0,0,1,0,0
Jeremy Pargo,44,1,3,0,0,0,0,0,1,1,0
E'Twaun Moore,38,1,3,1,0,0,0,0,0,0,1
Jimmy Butler,42,0,1,0,1,1,0,0,0,0,1
JaJuan Johnson,36,1,3,0,0,0,0,1,0,0,0
Blake Griffin,82,8,16,0,5,8,3,8,3,2,1
John Wall,69,5,14,1,4,5,0,4,8,3,1
Landry Fields,82,3,7,2,1,1,1,5,1,1,1
DeMarcus Cousins,81,5,12,0,3,5,2,6,2,3,1
Greg Monroe,80,3,6,0,1,2,3,4,1,1,1
Wesley Johnson,79,3,8,3,0,1,0,2,1,1,1
Ed Davis,65,3,5,0,1,2,2,4,0,0,1
Jordan Crawford,42,4,11,3,1,2,0,1,2,2,0
Evan Turner,78,2,6,0,1,1,0,3,2,1,1
Eric Bledsoe,81,2,6,1,1,1,0,1,3,2,1
Gary Neal,80,3,7,3,1,1,0,2,1,1,1
Paul George,61,2,6,2,1,1,0,3,1,1,1
Derrick Favors,78,2,5,0,1,2,2,3,0,1,1
Kay Felder,15,1,4,0,1,2,0,1,1,0,0
Al-Farouq Aminu,81,2,5,1,1,1,0,2,0,1,1
Ekpe Udoh,58,1,3,0,0,1,1,1,0,0,1
Manny Harris,54,2,5,1,1,1,0,1,1,1,0
Gordon Hayward,72,2,4,1,1,1,0,1,1,1,1
Patrick Patterson,52,2,5,0,0,0,1,2,0,0,1
Trevor Booker,65,2,3,0,1,1,1,2,0,0,1
Larry Sanders,60,1,4,0,0,0,1,2,0,0,1
Luke Harangody,49,1,4,1,0,0,0,2,0,0,0
Quincy Pondexter,66,1,2,0,0,0,0,1,0,0,1
Ben Uzoh,42,1,3,0,0,1,0,0,1,0,0
Ish Smith,43,1,2,0,0,0,0,0,1,0,1
Lazar Hayward,42,1,3,1,0,1,0,1,0,0,0
Jeremy Evans,49,1,2,0,0,0,0,1,0,0,1
Cole Aldrich,18,0,0,0,0,0,0,1,0,0,1
Armon Johnson,38,1,2,0,0,0,0,0,1,1,0
Mustafa Shakur,22,1,2,0,0,0,0,0,1,0,0
Derrick Caracter,41,0,1,0,0,0,0,0,0,0,0
Tyreke Evans,72,7,16,2,4,6,0,4,5,3,1
Stephen Curry,80,6,14,4,2,2,0,3,5,3,1
Brandon Jennings,82,5,14,4,2,3,0,2,5,2,1
Denzel Valentine,22,0,3,1,0,0,0,1,0,0,0
Jonny Flynn,81,4,11,2,2,3,0,2,4,2,0
Darren Collison,76,4,10,1,1,2,0,2,5,2,1
Taj Gibson,82,3,7,0,1,2,2,4,0,1,1
Marcus Thornton,73,5,12,4,2,2,1,1,1,1,1
Wesley Matthews,82,3,6,2,2,2,0,1,1,1,1
Jrue Holiday,73,3,7,2,0,1,0,1,3,2,1
James Harden,76,3,7,3,2,3,0,2,1,1,1
Terrence Williams,78,3,8,1,1,1,0,3,2,1,0
Taurean Waller-Prince,20,1,3,1,0,0,0,1,0,0,0
DeMar DeRozan,77,3,6,0,1,2,0,2,0,0,1
Ty Lawson,65,3,6,1,1,2,0,1,3,1,1
Chase Budinger,74,3,7,3,0,1,0,2,1,0,1
Toney Douglas,56,3,7,3,1,1,0,1,2,1,1
DeJuan Blair,82,3,6,0,1,2,2,4,0,1,1
Wayne Ellington,76,2,5,2,0,0,0,1,1,1,1
Sam Young,80,2,6,0,1,2,1,1,0,1,0
Eric Maynor,81,1,4,0,0,0,0,1,3,1,1
A.J. Price,56,2,6,3,1,1,0,1,1,1,1
Karl-Anthony Towns,82,7,14,1,2,3,2,7,2,2,0
Jordan Hill,47,2,4,0,1,1,1,2,0,0,1
Austin Daye,69,2,4,1,0,0,0,2,0,0,1
Chris Hunter,60,1,3,0,0,1,0,1,0,0,0
Jon Brockman,52,1,2,0,0,1,2,2,0,0,0
Garrett Temple,27,1,3,1,1,1,0,0,0,1,1
Jodie Meeks,60,1,4,2,0,0,0,1,0,0,1
Dante Cunningham,63,1,3,0,0,0,0,1,0,0,1
DeMarre Carroll,71,1,3,0,0,0,0,1,0,0,1
Jeff Ayres,39,1,1,0,0,0,0,1,0,0,1
Jeff Teague,71,1,3,0,0,0,0,0,1,0,1
Derrick Brown,57,1,2,0,0,1,0,0,0,0,0
DaJuan Summers,44,1,3,1,0,0,0,0,0,0,0
Gerald Henderson,43,0,2,0,0,1,0,0,0,0,1
Gerald Henderson,43,0,2,0,0,1,0,0,0,0,1
Earl Clark,51,1,3,0,0,0,0,0,0,0,1
Cedric Jackson,12,0,1,0,0,1,0,0,1,0,0
Marcus Landry,18,0,2,1,0,0,0,0,0,0,0
Jahlil Okafor,53,7,14,0,2,3,2,4,1,2,0
Lester Hudson,25,0,2,0,0,0,0,0,0,0,0
O.J. Mayo,82,6,15,4,3,3,0,3,3,2,1
Derrick Rose,81,7,14,0,2,3,1,2,6,2,1
Eric Gordon,78,5,11,4,3,4,0,2,2,2,1
Russell Westbrook,82,5,13,1,4,5,2,2,5,3,1
Mario Chalmers,82,3,8,3,1,2,0,2,4,2,1
Brook Lopez,82,5,10,0,2,2,2,5,1,1,1
Jason Thompson,82,4,8,0,2,3,2,4,1,1,1
D.J. Augustin,72,3,8,3,2,3,0,1,3,1,1
Justise Winslow,78,2,5,1,1,1,1,4,1,1,0
Kevin Love,81,3,8,0,3,4,3,5,1,1,1
Courtney Lee,77,3,7,2,1,1,0,2,1,0,1
Michael Beasley,81,5,11,1,2,3,1,4,1,1,1
Brandon Rush,75,3,7,2,0,0,0,2,0,1,1
Anthony Morrow,67,3,8,2,1,1,1,1,1,0,1
Greg Oden,61,3,5,0,2,3,2,4,0,1,0
Kyle Weaver,56,2,4,1,0,1,0,1,1,1,0
Ryan Anderson,66,2,6,2,1,1,1,3,0,0,1
Darrell Arthur,76,2,5,0,0,0,1,3,0,0,1
George Hill,77,1,4,0,1,1,0,1,1,1,1
Marreese Speights,79,3,6,0,1,1,1,2,0,0,1
JaVale McGee,75,2,5,0,1,2,1,2,0,0,1
Mike Taylor,51,2,5,0,1,1,0,1,2,1,0
DeAndre Jordan,53,1,2,0,0,2,1,3,0,0,1
Roy Hibbert,70,2,6,0,1,2,1,1,0,0,1
Bobby Brown,68,2,5,1,0,0,0,0,1,0,0
D'Angelo Russell,80,4,12,4,1,2,0,2,3,2,0
Chris Douglas-Roberts,44,1,4,0,1,1,0,0,1,0,1
Jerryd Bayless,53,1,3,0,1,1,0,0,1,1,1
Cory Alexander,59,1,4,0,1,1,0,1,0,0,1
Kosta Koufos,48,2,3,0,0,1,1,1,0,0,1
Rob Kurz,40,1,3,1,1,1,0,1,0,0,0
Anthony Tolliver,19,1,3,2,0,0,0,1,0,0,1
Devin Booker,76,4,11,3,2,3,0,2,2,2,0
Robin Lopez,60,1,2,0,0,1,0,1,0,0,1
Darnell Jackson,51,0,1,0,0,0,0,1,0,0,0
Sean Singletary,37,0,2,0,0,0,0,0,0,0,0
Kevin Durant,80,7,17,2,4,5,0,3,2,2,1
Jeff Green,80,4,9,1,2,3,1,3,1,2,1
Jamario Moon,78,3,7,1,0,1,1,5,1,0,1
Al Thornton,79,4,11,1,2,3,1,3,1,1,0
Mike Conley,53,3,8,1,1,2,0,2,4,1,1
Stanley Johnson,73,3,8,2,1,1,0,3,1,1,0
Daequan Cook,59,3,8,4,0,1,0,2,1,1,1
Corey Brewer,79,2,6,0,1,1,1,2,1,1,1
Thaddeus Young,74,3,6,0,1,1,1,2,0,0,1
Joakim Noah,74,2,5,0,1,2,2,3,1,1,1
Wilson Chandler,35,3,6,0,1,1,1,2,0,0,1
Rodney Stuckey,57,2,6,0,2,2,0,1,2,1,1
Jared Dudley,73,2,4,0,1,1,1,2,1,0,1
Sean Williams,73,2,4,0,1,1,1,2,0,1,0
Myles Turner,60,4,8,0,1,2,1,4,0,1,0
Carl Landry,42,3,5,0,1,2,2,2,0,0,1
Acie Law,56,1,4,0,0,0,0,0,2,1,0
Nick Young,75,2,6,1,1,1,0,1,0,1,1
Jason Smith,76,1,4,0,0,1,1,2,0,0,1
Glen Davis,69,1,3,0,1,2,1,1,0,0,1
Javaris Crittenton,50,2,4,0,1,2,0,1,1,1,0
Spencer Hawes,71,2,4,0,0,0,1,2,0,0,1
Arron Afflalo,75,1,3,0,0,1,0,1,0,0,1
Aaron Brooks,51,1,4,2,0,1,0,0,1,0,1
C.J. Watson,32,1,3,0,0,0,0,0,1,0,1
Julian Wright,57,1,3,0,0,0,0,1,0,0,0
Chris Richard,52,0,1,0,0,0,1,1,0,0,0
Nick Fazekas,26,1,3,0,0,0,1,2,0,0,0
Aaron Gray,61,1,3,0,0,1,1,1,0,0,1
Dominic McGuire,70,0,1,0,0,0,0,1,0,0,1
Brandan Wright,38,1,2,0,0,1,1,1,0,0,1
Jermareo Davidson,38,1,3,0,0,0,0,1,0,0,0
Mario West,64,0,0,0,0,0,0,0,0,0,0
Demetris Nichols,14,0,1,0,0,0,0,0,0,0,0
Willie Cauley-Stein,66,2,5,0,1,1,2,3,0,0,0
Brandon Roy,57,6,13,2,3,4,1,3,4,2,1
Adam Morrison,78,4,12,3,1,2,0,2,2,1,0
Rudy Gay,78,4,9,1,1,2,1,3,1,1,1
Rajon Rondo,78,2,5,0,1,2,0,2,3,1,1
Randy Foye,82,3,8,2,2,2,0,2,2,1,1
LaMarcus Aldridge,63,3,7,0,1,1,2,2,0,0,1
Tarence Kinsey,48,2,6,1,1,2,0,1,0,1,0
Josh Richardson,52,2,5,2,0,1,0,1,1,0,0
Craig Smith,82,3,5,0,1,2,1,3,0,0,1
Shelden Williams,81,2,4,0,1,1,1,3,0,1,1
Paul Millsap,82,2,4,0,1,2,2,2,0,1,1
Rodney Carney,67,2,5,1,0,1,0,1,0,0,1
Marcus Williams,79,2,6,2,0,1,0,1,3,1,0
Marcus Williams,79,2,6,2,0,1,0,1,3,1,0
Daniel Gibson,60,1,3,2,0,0,0,1,1,0,1
Renaldo Balkman,68,2,4,0,0,1,1,2,0,0,1
Rondae Hollis-Jefferson,29,2,4,0,1,1,1,4,1,0,0
Jordan Farmar,72,1,4,1,0,0,0,1,1,1,1
Allan Ray,47,2,5,2,0,1,0,1,0,0,0
Mardy Collins,52,1,4,0,0,1,0,1,1,1,0
J.J. Redick,42,1,4,2,1,1,0,1,0,0,1
Tyrus Thomas,72,1,3,0,1,2,1,2,0,1,1
Alexander Johnson,59,1,2,0,1,2,0,2,0,0,0
Cedric Simmons,43,1,3,0,0,0,1,1,0,0,0
Frank Kaminsky,81,2,6,2,1,1,0,3,1,0,0
Shawne Williams,46,1,3,1,0,0,0,1,0,0,1
Ronnie Brewer,56,1,3,0,1,1,0,0,0,0,1
David Noel,68,1,2,0,0,0,0,1,1,0,0
Solomon Jones,58,1,2,0,1,1,0,1,0,0,1
Leon Powe,63,1,2,0,1,2,1,1,0,0,1
Hilton Armstrong,56,1,2,0,0,1,1,1,0,0,1
Josh Boone,61,1,2,0,0,1,1,1,0,0,0
Lynn Greer,41,1,3,1,0,0,0,0,1,0,0
Chris Quinn,42,1,3,1,0,0,0,0,1,0,1
Anthony Brown,29,1,4,2,0,0,0,2,0,0,0
Quincy Douby,42,1,3,1,0,0,0,0,0,0,0
Hassan Adams,61,1,2,0,0,0,0,0,0,0,0
Bobby Jones,44,1,2,0,0,0,0,0,0,0,1
Bobby Jones,44,1,2,0,0,0,0,0,0,0,1
Andre Brown,38,1,1,0,0,0,0,1,0,0,0
Steve Novak,35,0,1,1,0,0,0,0,0,0,1
Chris Paul,78,5,12,2,5,6,0,4,7,2,1
Raymond Felton,80,4,11,3,2,2,1,2,5,2,1
Charlie Villanueva,81,5,11,2,1,2,2,4,1,1,1
Luther Head,80,3,7,3,1,1,0,2,2,1,1
Deron Williams,80,4,10,2,1,1,0,2,4,1,1
Larry Nance Jr.,63,2,4,0,0,0,1,3,0,0,0
Marvin Williams,79,3,6,0,2,3,1,3,0,1,1
Channing Frye,65,4,9,0,2,3,2,3,0,1,1
Danny Granger,78,2,6,1,1,1,1,3,1,1,1
Ryan Gomes,61,2,5,0,1,2,1,3,1,0,1
Nate Robinson,72,3,7,2,2,2,0,1,2,1,1
Salim Stoudamire,61,3,8,3,1,1,0,1,1,1,0
Jarrett Jack,79,2,5,1,1,2,0,1,2,1,1
T.J. McConnell,81,2,5,1,0,0,0,2,4,1,0
Joey Graham,80,2,5,1,1,1,0,2,0,1,1
Monta Ellis,49,2,6,1,0,1,0,1,1,1,1
Martell Webster,61,2,5,3,1,1,0,1,0,0,1
Rashad McCants,79,3,6,2,1,1,0,1,0,1,0
David Lee,67,2,3,0,1,1,1,2,0,0,1
David Lee,67,2,3,0,1,1,1,2,0,0,1
Alan Anderson,36,2,5,1,0,1,0,1,0,0,1
Orien Greene,80,1,3,0,0,0,0,1,1,1,0
Ike Diogu,69,2,4,0,2,2,1,1,0,1,1
Daniel Ewing,66,1,3,1,0,0,0,0,1,0,0
Gerald Fitch,18,1,4,1,0,1,0,1,1,0,0
James Singleton,59,1,2,0,0,0,1,2,0,0,1
Josh Powell,37,1,2,0,1,1,0,1,0,0,1
Hakim Warrick,68,1,3,0,1,1,0,1,0,0,1
Wayne Simien,43,1,2,0,0,0,0,1,0,0,0
Antoine Wright,39,0,2,0,0,0,0,0,0,0,1
Donell Taylor,51,1,2,0,0,0,0,0,0,0,0
C.J. Miles,23,1,3,0,0,1,0,0,0,0,1
Malcolm Brogdon,32,3,6,2,0,1,0,2,3,1,0
Kevin Burleson,39,0,2,1,0,0,0,0,1,0,0
Shavlik Randolph,57,0,1,0,0,1,1,1,0,0,1
Andrew Bynum,46,0,1,0,0,0,0,1,0,0,1
Lawrence Roberts,33,0,1,0,0,0,0,0,0,0,0
Emeka Okafor,73,6,13,0,2,4,3,7,0,1,1
Andre Iguodala,82,3,6,1,1,2,1,4,3,1,1
Dwight Howard,82,4,8,0,3,5,3,6,0,2,1
Josh Childress,80,3,8,0,2,2,2,3,1,1,1
Josh Smith,74,3,8,0,2,3,2,4,1,1,1
Chris Duhon,82,2,6,3,0,0,0,2,4,1,1
J.R. Smith,76,3,9,3,1,2,0,1,1,1,1
Quinton Ross,78,2,4,0,0,1,0,1,1,0,1
Jameer Nelson,79,3,7,1,0,1,0,1,3,1,1
Bobby Portis,62,3,7,0,0,1,2,3,0,0,0
Sebastian Telfair,68,2,6,1,1,2,0,1,3,1,1
