Area,Perimeter,Kernel_len,Kernel_width,Kernelgroove_len,Type
12.76,13.38,5.073,3.155,4.83,0
12.13,13.73,5.394,3.745,5.22,0
14.86,14.67,5.678,3.258,5.351,0
15.69,14.75,5.527,3.514,5.046,0
19.94,16.92,6.675,3.763,6.55,1
14.26,13.6,5.408,3.3,5.36,0
13.99,13.83,5.119,3.383,4.781,0
14.4,13.08,5.136,3.763,5.089,0
12.48,13.05,5.18,3.58,5.002,0
12.93,13.8,5.046,3.717,5.045,0
14.01,14.29,5.609,3.158,5.132,0
16.23,15.18,5.872,3.472,5.922,1
14.79,14.52,5.545,3.291,5.111,0
14.28,14.17,5.397,3.298,5.001,0
18.27,16.09,6.173,3.651,6.197,1
12.23,13.82,5.089,3.821,4.957,0
18.88,16.26,6.084,3.764,6.109,1
12.11,13.47,5.159,3.032,5.519,0
13.5,13.85,5.351,3.158,5.176,0
12.88,13.5,5.139,3.119,5.607,0
14.11,14.18,5.541,3.221,5.038,0
14.99,14.56,5.57,3.377,5.175,0
14.46,14.35,5.388,3.377,5.044,0
19.46,16.5,6.113,3.892,6.009,1
14.23,15.88,5.14,3.795,5.003,0
17.55,15.66,5.791,3.69,5.661,1
15.03,14.77,5.702,3.212,5.439,0
14.7,14.21,5.205,3.466,4.649,0
14.38,14.21,5.386,3.312,4.956,0
19.38,16.72,6.303,3.791,5.965,1
14.09,14.41,5.717,3.186,5.299,0
13.94,14.17,5.585,3.15,5.012,0
12.3,13.34,5.243,2.974,5.063,0
14.23,13.63,4.902,3.879,4.703,0
16.53,15.34,5.875,3.467,5.88,1
15.55,13.1,5.167,3.45,4.956,0
17.32,15.91,6.064,3.403,5.922,1
13.16,13.82,5.454,2.975,5.056,0
15.38,14.9,5.884,3.268,5.795,1
12.02,13.33,5.35,3.81,5.308,0
16.59,14.41,4.899,3.787,4.794,0
15.41,14.95,5.09,3.775,4.825,0
12.49,13.46,5.267,3.967,5.002,0
19.06,16.45,6.416,3.719,6.163,1
15.05,14.68,5.712,3.328,5.36,0
13.36,13.05,5.175,3.575,5.263,0
12.01,13.52,5.405,3.67,5.27,0
13.35,13.12,5.176,3.668,5.132,0
20.1,16.99,6.581,3.785,6.449,1
13.78,14.06,5.479,3.156,4.872,0
13.45,14.02,5.516,3.065,5.097,0
14.88,14.57,5.554,3.333,4.956,0
12.74,13.67,5.395,2.956,4.869,0
18.72,16.19,6.006,3.857,5.879,1
19.13,16.31,6.183,3.902,5.924,1
15.01,14.76,5.789,3.245,5.001,0
14.59,14.28,5.351,3.333,4.781,0
12.18,13.04,5.22,3.693,5.001,0
17.26,15.73,5.978,3.594,5.791,1
12.05,13.41,5.267,2.947,5.046,0
16.17,15.38,5.762,3.387,5.703,1
13.37,13.78,5.32,3.128,5.091,0
12.54,13.67,5.451,2.97,5.491,0
15.11,14.54,5.579,3.462,5.18,0
12.1,13.15,5.105,2.941,5.056,0
16.16,15.33,5.845,3.395,5.795,1
16.14,14.99,5.658,3.562,5.175,0
13.83,15.96,5.278,3.641,5.185,0
12.56,13.31,5.363,3.83,5.182,0
13.21,13.13,5.279,3.687,5.275,0
16.15,14.54,5.417,3.837,5.338,1
14.92,14.43,5.384,3.412,5.088,0
12.19,13.2,5.137,2.981,4.87,0
18.59,16.05,6.037,3.86,5.877,1
12.87,13.02,5.132,2.953,5.132,0
15.57,15.15,5.92,3.231,5.879,1
15.49,14.94,5.757,3.371,5.228,0
14.65,13.07,5.108,3.185,5.135,0
19.31,16.59,6.341,3.81,6.238,1
14.43,14.4,5.585,3.272,5.144,0
16.63,15.46,6.053,3.465,5.877,0
12.37,13.47,5.204,2.96,5.001,0
12.74,14.73,5.145,3.642,4.963,0
20.97,17.25,6.563,3.991,6.316,1
12.36,13.19,5.076,3.042,5.605,0
14.52,14.6,5.741,3.113,5.487,0
12.8,13.47,5.16,3.126,4.914,0
18.43,15.97,5.98,3.771,5.905,1
16.41,15.25,5.718,3.525,5.618,1
14.27,14.86,5.091,3.804,5.001,0
21.18,17.21,6.573,4.033,6.231,1
16.79,15.53,5.224,3.054,5.958,1
14.03,14.16,5.438,3.201,5.001,0
15.38,14.77,5.662,3.419,5.222,0
13.54,13.85,5.348,3.156,5.178,0
15.88,14.9,5.618,3.507,5.091,0
13.82,15.83,5.18,3.63,5.089,0
17.43,16.13,5.176,3.719,5.132,1
12.55,13.57,5.333,2.968,5.176,0
20.03,16.9,6.493,3.857,6.32,1
12.89,13.77,5.495,3.026,5.316,0
18.83,16.29,6.037,3.786,5.879,1
15.79,15.93,5.317,3.648,5.194,0
15.36,14.76,5.701,3.393,5.132,0
12.8,13.57,5.981,3.21,5.063,0
17.36,15.76,6.145,3.574,5.971,1
20.88,17.05,6.45,4.032,6.321,1
18.65,16.41,6.285,3.594,6.102,1
14.33,14.28,5.504,3.199,5.224,0
19.57,16.74,6.384,3.772,6.273,1
13.91,15.8,5.088,3.675,4.956,0
16.87,15.65,6.139,3.463,5.967,1
12.11,13.27,5.236,2.975,5.012,0
18.94,16.49,6.445,3.639,6.362,1
16.77,15.62,5.927,3.438,5.795,1
18.72,16.34,6.219,3.684,6.097,1
15.26,14.85,5.714,3.242,5.314,0
13.81,13.45,5.413,3.716,5.352,0
18.81,16.29,6.272,3.693,6.053,1
19.15,16.45,6.245,3.815,6.185,1
13.16,13.55,5.138,3.201,4.783,0
18.95,16.42,6.248,3.755,6.148,1
15.5,14.86,5.877,3.396,5.528,0
17.14,14.79,5.011,3.794,5.049,0
18.36,16.52,6.666,3.485,6.448,1
20.24,16.91,6.315,3.962,6.188,1
15.56,14.89,5.776,3.408,5.847,1
18.96,16.2,6.051,3.897,5.75,1
12.22,13.32,5.224,2.967,5.221,0
17.12,15.55,5.85,3.566,5.746,1
18.98,16.57,6.449,3.552,6.453,1
16.19,15.16,5.833,3.421,5.307,0
13.89,14.02,5.439,3.199,5.738,0
19.11,16.26,6.154,3.93,6.079,1
20.71,17.23,6.579,3.814,6.451,1
13.49,13.22,5.304,3.695,5.31,0
14.19,13.05,5.25,3.778,5.219,0
15.6,15.11,5.832,3.286,5.752,1
14.8,14.52,5.656,3.288,5.309,0
19.14,16.61,6.259,3.737,6.053,1
12.38,13.44,5.219,2.989,5.045,0
15.26,14.84,5.763,3.312,5.22,0
12.21,13.47,5.357,3.893,5.178,0
14.83,13.23,5.263,3.84,5.307,0
14.29,14.09,5.291,3.337,4.825,0
13.84,13.94,5.324,3.379,4.805,0
16.84,13.21,5.175,3.836,5.044,0
12.08,13.23,5.099,2.936,4.961,0
16.44,15.25,5.884,3.505,5.533,0
17.63,15.86,6.033,3.573,5.929,1
12.75,13.52,5.444,3.78,5.31,0
12.73,13.75,5.412,3.882,5.067,0
18.17,16.26,6.271,3.512,6.273,1
14.69,14.49,5.563,3.259,5.219,0
13.74,14.05,5.482,3.114,4.825,0
15.99,14.89,5.363,3.582,5.144,1
13.32,13.94,5.541,3.073,5.44,0
18.89,16.23,6.227,3.769,5.966,1
12.7,13.71,5.386,2.911,5.316,0
18.94,16.32,6.144,3.825,5.949,1
15.78,14.91,5.674,3.434,5.136,0
16.2,15.27,5.826,3.464,5.527,0
12.19,13.36,5.24,2.99,5.158,0
20.16,17.03,6.513,3.773,6.185,1
17.63,15.98,6.191,3.561,6.06,1
17.99,15.86,5.89,3.694,5.837,1
15.82,13.4,5.314,3.777,5.178,0
16.82,15.51,6.017,3.486,5.841,1
12.44,13.59,5.319,3.897,5.27,0
12.34,14.87,5.053,3.849,5.003,0
15.26,13.01,5.186,3.571,5.092,0
13.22,13.84,5.395,3.07,5.088,0
13.8,14.04,5.376,3.155,4.961,0
12.72,13.57,5.226,3.049,4.914,0
16.84,15.67,5.998,3.484,5.877,1
17.08,15.38,5.832,3.683,5.484,0
19.51,16.71,6.366,3.801,6.185,1
12.46,13.41,5.236,3.017,5.147,0
13.2,13.66,5.236,3.232,5.056,0
18.76,16.2,6.172,3.796,6.053,1
19.18,16.63,6.369,3.681,6.229,1
18.14,16.12,6.059,3.563,6.011,1
13.02,13.76,5.395,3.026,4.825,0
15.18,14.72,5.009,3.81,4.828,0
14.49,14.61,5.715,3.113,5.396,0
18.45,16.12,6.107,3.769,5.794,1
14.11,14.26,5.52,3.168,5.219,0
17.98,15.85,5.979,3.687,5.919,1
18.75,16.18,6.111,3.869,5.992,1
18.98,16.66,6.549,3.67,6.498,1
14.34,14.37,5.63,3.19,5.15,0
20.2,16.89,6.285,3.864,6.187,1
12.62,13.67,5.41,3.11,5.231,0
14.16,14.4,5.658,3.129,5.176,0
18.3,15.89,5.979,3.755,5.962,1
12.78,13.57,5.262,3.026,4.782,0
13.07,13.92,5.472,2.994,5.395,0
18.55,16.22,6.153,3.674,5.894,1
13.34,13.95,5.389,3.074,5.307,0
